1;141873;577601
2;110778;558235
3;131243;589279
4;149658;601475
5;179228;607782
6;207215;611550
7;104846;549122
8;209323;597151
9;187832;582336
10;163935;549446
11;174740;556790
12;179209;559612
13;190861;570953
14;189721;559512
15;199669;561789
16;206754;563832
17;215344;567034
18;189817;539034
19;226342;577790
20;241625;574382
21;271249;558749
22;226394;563876
23;223654;558088
24;230297;553310
25;239615;560273
26;250325;553779
27;217655;546611
28;241225;544151
29;213418;535521
30;223871;536139
31;237105;536712
32;236348;532982
33;265796;522263
34;192965;532843
35;200064;523691
36;201947;514783
37;204223;515965
38;204764;448123
39;228800;501865
40;242025;498659
41;218890;486576
42;224700;483846
43;231857;488029
44;231086;476630
45;256845;495658
46;265056;495094
47;259474;488762
48;256415;485086
49;269377;486478
50;261958;483245
51;255177;477526
53;250275;461032
54;256463;463128
55;261890;467687
56;159663;473163
57;186392;465919
58;206304;459945
60;229431;459240
61;242192;445031
62;251003;442645
63;245180;440019
64;248375;436397
65;169323;446534
69;194721;419323
70;136407;434964
71;130468;419488
72;152861;537168
73;143639;505031
74;193264;516014
75;180130;512222
76;167785;484396
77;150614;477502
78;152548;495425
79;142831;491155
81;153953;444361
82;127623;442465
83;123485;473901
84;110278;550275
85;107807;535747
86;106006;523666
87;103380;505559
88;97031;483643
89;119742;510989
90;116947;503360
91;114242;495541
92;121195;496057
93;130142;506082
94;136432;478306
95;135988;464869
96;88551;470927
97;84301;462865
98;76833;455654
99;73546;451869
100;63396;435398
101;59865;429049
102;97586;458823
103;115123;461783
104;113454;448829
105;127953;440237
106;104150;432664
107;112410;433259
108;89688;428313
109;75395;420418
110;95161;419739
111;94346;412965
112;112373;418262
113;36435;418251
114;77641;408157
115;58578;418268
116;38873;414216
117;28812;401181
118;55983;398543
119;37096;396394
120;73654;390579
121;60014;390158
122;42732;380783
123;14656;377783
124;23615;372071
125;45011;360035
126;59229;373268
127;76678;386337
128;85324;378616
129;114968;396239
130;130065;410624
131;136491;406706
132;144988;410708
133;144865;397464
134;129914;390524
135;135193;386253
136;163560;371468
137;171236;379084
138;171833;363876
139;190085;381543
140;184998;373124
141;193272;413648
142;192516;417198
143;198899;411886
144;198447;395956
145;209591;392904
146;183599;364570
147;193911;362340
148;202348;360429
149;206508;352977
150;197833;352113
151;195680;344641
152;188512;350952
153;179937;324413
154;190862;326384
155;197763;326331
156;182541;316175
157;194671;308704
158;194612;320008
159;175199;314545
160;180465;314017
161;184163;308779
162;105885;528662
163;10708;390669
167;176782;312846
